,Unnamed: 0,song,artist,album,duration,track_num,release_date,popularity,danceability,energy,key,key_confidence,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,Song,Main composer,Singer,lead
0,0,FROM ME TO YOU,The Beatles,1,116160,2,1963,59,0.581,0.821,C,0.0,Major,0.0318,0.507,0.0,0.10800000000000001,0.968,136.145,FROM ME TO YOU,Lennon/McCartney,Lennon/McCartney,Lennon/McCartney
1,1,SHE LOVES YOU,The Beatles,1,140920,3,1963,66,0.377,0.9159999999999999,E,0.0,Minor,0.0481,0.26,0.0,0.07400000000000001,0.912,75.533,SHE LOVES YOU,Lennon/McCartney,Lennon/McCartney,Lennon/McCartney
2,2,I WANT TO HOLD YOUR HAND,The Beatles,1,145746,4,1963,71,0.49,0.715,G,0.56,Major,0.0476,0.386,0.0,0.311,0.866,130.726,I WANT TO HOLD YOUR HAND,Lennon/McCartney,Lennon/McCartney,Lennon/McCartney
3,3,I FEEL FINE,The Beatles,1,139346,7,1964,63,0.564,0.8270000000000001,G,1.0,Major,0.0283,0.0904,3.73e-06,0.127,0.912,89.84700000000001,I FEEL FINE,Lennon,Lennon,Lennon
4,4,DAY TRIPPER,The Beatles,1,169000,12,1965,64,0.665,0.782,F#,0.521,Minor,0.0307,0.12,4.19e-06,0.125,0.731,137.453,DAY TRIPPER,Lennon,Lennon/McCartney,Lennon
5,5,WE CAN WORK IT OUT,The Beatles,1,135693,13,1965,61,0.37799999999999995,0.677,D,0.593,Major,0.0298,0.0635,0.0,0.183,0.648,106.071,WE CAN WORK IT OUT,Lennon/McCartney,McCartney,McCartney
6,6,PAPERBACK WRITER,The Beatles,1,138200,14,1966,61,0.47200000000000003,0.856,G,1.0,Major,0.0562,0.147,2.78e-06,0.595,0.841,78.696,PAPERBACK WRITER,McCartney,McCartney,McCartney
7,7,LADY MADONNA,The Beatles,1,136826,20,1968,61,0.65,0.777,D,0.375,Major,0.0294,0.141,0.34299999999999997,0.215,0.574,109.60799999999999,LADY MADONNA,McCartney,McCartney,McCartney
8,8,HEY JUDE,The Beatles,1,425653,21,1968,74,0.386,0.607,Bb,0.14400000000000002,Major,0.0261,0.0112,1.3800000000000002e-05,0.08800000000000001,0.532,147.207,HEY JUDE,McCartney,McCartney,McCartney
9,9,THE BALLAD OF JOHN AND YOKO,The Beatles,1,179480,23,1969,57,0.6509999999999999,0.892,E,0.603,Major,0.0313,0.00465,2.85e-06,0.127,0.9620000000000001,135.309,THE BALLAD OF JOHN AND YOKO,Lennon,Lennon,Lennon
