,song,artist,album,duration,track_num,release_date,popularity,danceability,energy,key,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,Love Me Do - Mono / Remastered,The Beatles,1 (Remastered),140173,1,2000-11-13,58,0.524,0.88,0,1,0.0987,0.404,0.000191,0.154,0.758,148.058
1,From Me To You - Mono / Remastered,The Beatles,1 (Remastered),116160,2,2000-11-13,60,0.581,0.821,0,1,0.0318,0.507,0.0,0.108,0.968,136.145
2,She Loves You - Mono / Remastered,The Beatles,1 (Remastered),140920,3,2000-11-13,67,0.377,0.916,4,0,0.0481,0.26,0.0,0.074,0.912,75.533
3,I Want To Hold Your Hand - Remastered 2015,The Beatles,1 (Remastered),145746,4,2000-11-13,72,0.49,0.715,7,1,0.0476,0.386,0.0,0.311,0.866,130.726
4,Can't Buy Me Love - Remastered 2015,The Beatles,1 (Remastered),131213,5,2000-11-13,57,0.426,0.76,0,1,0.0414,0.118,0.0,0.325,0.955,171.838
5,A Hard Day's Night - Remastered 2015,The Beatles,1 (Remastered),152920,6,2000-11-13,58,0.546,0.818,0,1,0.031,0.0487,0.0,0.0983,0.756,138.561
6,I Feel Fine - Remastered 2015,The Beatles,1 (Remastered),139346,7,2000-11-13,64,0.564,0.827,7,1,0.0283,0.0904,3.73e-06,0.127,0.912,89.847
7,Eight Days A Week - Remastered 2015,The Beatles,1 (Remastered),163320,8,2000-11-13,56,0.636,0.677,9,1,0.0316,0.265,0.0,0.215,0.837,138.707
8,Ticket To Ride - Remastered 2015,The Beatles,1 (Remastered),190120,9,2000-11-13,56,0.554,0.904,4,0,0.0536,0.0638,0.0,0.259,0.801,123.443
9,Help! - Remastered 2015,The Beatles,1 (Remastered),139240,10,2000-11-13,58,0.602,0.736,11,0,0.0332,0.149,0.0,0.0776,0.819,94.931
10,Yesterday - Remastered 2015,The Beatles,1 (Remastered),125320,11,2000-11-13,61,0.401,0.189,0,1,0.0287,0.871,0.0,0.0968,0.357,94.509
11,Day Tripper - Remastered 2015,The Beatles,1 (Remastered),169000,12,2000-11-13,65,0.665,0.782,6,0,0.0307,0.12,4.19e-06,0.125,0.731,137.453
12,We Can Work It Out - Remastered 2015,The Beatles,1 (Remastered),135693,13,2000-11-13,62,0.378,0.677,2,1,0.0298,0.0635,0.0,0.183,0.648,106.071
13,Paperback Writer - Remastered 2015,The Beatles,1 (Remastered),138200,14,2000-11-13,62,0.472,0.856,7,1,0.0562,0.147,2.78e-06,0.595,0.841,78.696
14,Yellow Submarine - Remastered 2015,The Beatles,1 (Remastered),158800,15,2000-11-13,55,0.66,0.557,1,1,0.03,0.158,0.0,0.543,0.788,110.743
15,Eleanor Rigby - Remastered 2015,The Beatles,1 (Remastered),125866,16,2000-11-13,60,0.605,0.314,0,1,0.0327,0.916,0.0,0.359,0.836,138.148
16,Penny Lane - Remastered 2015,The Beatles,1 (Remastered),180520,17,2000-11-13,58,0.679,0.592,9,1,0.0402,0.0964,0.0138,0.16,0.55,113.265
17,All You Need Is Love - Remastered 2015,The Beatles,1 (Remastered),227760,18,2000-11-13,58,0.397,0.625,7,1,0.0347,0.437,5.47e-06,0.263,0.676,104.54
18,"Hello, Goodbye - Remastered 2015",The Beatles,1 (Remastered),207786,19,2000-11-13,55,0.498,0.806,0,1,0.0265,0.402,5.74e-06,0.525,0.664,99.396
19,Lady Madonna - Remastered 2015,The Beatles,1 (Remastered),136826,20,2000-11-13,62,0.65,0.777,2,1,0.0294,0.141,0.343,0.215,0.574,109.608
20,Hey Jude - Remastered 2015,The Beatles,1 (Remastered),425653,21,2000-11-13,76,0.386,0.607,10,1,0.0261,0.0112,1.38e-05,0.088,0.532,147.207
21,Get Back - Remastered 2015,The Beatles,1 (Remastered),191773,22,2000-11-13,57,0.703,0.636,7,1,0.0376,0.186,0.0256,0.0959,0.218,122.921
22,The Ballad Of John And Yoko - Remastered 2015,The Beatles,1 (Remastered),179480,23,2000-11-13,58,0.651,0.892,4,1,0.0313,0.00465,2.85e-06,0.127,0.962,135.309
23,Something - Remastered 2015,The Beatles,1 (Remastered),181413,24,2000-11-13,54,0.449,0.375,0,1,0.0286,0.302,2.41e-06,0.144,0.466,133.845
24,Come Together - Remastered 2015,The Beatles,1 (Remastered),258693,25,2000-11-13,54,0.559,0.343,9,0,0.0424,0.0601,0.138,0.1,0.183,164.53
25,Let It Be - Remastered 2015,The Beatles,1 (Remastered),230440,26,2000-11-13,62,0.445,0.436,0,1,0.0332,0.58,2.63e-05,0.112,0.483,139.848
26,The Long And Winding Road - Remastered 2015,The Beatles,1 (Remastered),219440,27,2000-11-13,53,0.326,0.365,3,1,0.0265,0.667,0.000523,0.0718,0.314,133.084
27,Two Of Us - Remastered 2009,The Beatles,Let It Be (Remastered),216813,1,1970-05-08,61,0.726,0.702,7,1,0.032,0.0974,3.46e-05,0.239,0.931,109.114
28,Dig A Pony - Remastered 2009,The Beatles,Let It Be (Remastered),235000,2,1970-05-08,56,0.538,0.478,11,0,0.0388,0.472,0.0,0.17,0.527,59.004
29,Across The Universe - Remastered 2009,The Beatles,Let It Be (Remastered),228133,3,1970-05-08,68,0.257,0.412,1,1,0.0287,0.361,8.68e-05,0.0702,0.858,152.126
30,I Me Mine - Remastered 2009,The Beatles,Let It Be (Remastered),145586,4,1970-05-08,58,0.291,0.638,9,0,0.0554,0.179,0.0,0.101,0.525,185.235
31,Dig It - Remastered 2009,The Beatles,Let It Be (Remastered),50466,5,1970-05-08,50,0.54,0.489,5,1,0.117,0.659,0.0019,0.457,0.67,157.03
32,Let It Be - Remastered 2009,The Beatles,Let It Be (Remastered),243026,6,1970-05-08,79,0.443,0.403,0,1,0.0322,0.631,0.0,0.111,0.41,143.462
33,Maggie Mae - Remastered 2009,The Beatles,Let It Be (Remastered),40040,7,1970-05-08,52,0.516,0.515,2,0,0.215,0.379,0.0,0.103,0.524,169.039
34,I've Got A Feeling - Remastered 2009,The Beatles,Let It Be (Remastered),217560,8,1970-05-08,59,0.44,0.609,2,1,0.0358,0.0715,0.0,0.582,0.364,165.156
35,One After 909 - Remastered 2009,The Beatles,Let It Be (Remastered),173960,9,1970-05-08,53,0.554,0.828,4,1,0.0739,0.0307,0.0,0.907,0.888,90.95
36,The Long And Winding Road - Remastered 2009,The Beatles,Let It Be (Remastered),218186,10,1970-05-08,65,0.299,0.329,3,1,0.0279,0.756,0.0105,0.0559,0.392,132.282
37,For You Blue - Remastered 2009,The Beatles,Let It Be (Remastered),152213,11,1970-05-08,53,0.88,0.556,2,1,0.0855,0.24,0.0483,0.24,0.955,128.542
38,Get Back - Remastered 2009,The Beatles,Let It Be (Remastered),189386,12,1970-05-08,68,0.761,0.592,2,1,0.0586,0.492,0.00626,0.61,0.332,123.095
39,Come Together - Remastered 2009,The Beatles,Abbey Road (Remastered),259946,1,1969-09-26,79,0.533,0.376,9,0,0.0393,0.0302,0.248,0.0926,0.187,165.007
40,Something - Remastered 2009,The Beatles,Abbey Road (Remastered),182293,2,1969-09-26,73,0.396,0.338,0,1,0.0304,0.198,2.62e-06,0.138,0.377,133.522
41,Maxwell's Silver Hammer - Remastered 2009,The Beatles,Abbey Road (Remastered),207920,3,1969-09-26,60,0.764,0.426,2,1,0.0405,0.629,0.000119,0.132,0.726,131.12
42,Oh! Darling - Remastered 2009,The Beatles,Abbey Road (Remastered),207240,4,1969-09-26,68,0.422,0.656,4,1,0.0397,0.0126,0.0279,0.268,0.549,173.93
43,Octopus's Garden - Remastered 2009,The Beatles,Abbey Road (Remastered),170720,5,1969-09-26,63,0.626,0.512,1,0,0.0247,0.155,4.65e-05,0.215,0.73,92.225
44,I Want You (She's So Heavy) - Remastered 2009,The Beatles,Abbey Road (Remastered),467320,6,1969-09-26,63,0.37,0.515,2,0,0.0321,0.0233,0.205,0.0966,0.42,115.732
45,Here Comes The Sun - Remastered 2009,The Beatles,Abbey Road (Remastered),185733,7,1969-09-26,83,0.557,0.54,9,1,0.0347,0.0339,0.00248,0.179,0.394,129.171
46,Because - Remastered 2009,The Beatles,Abbey Road (Remastered),165666,8,1969-09-26,60,0.328,0.249,2,1,0.0272,0.754,5.77e-06,0.134,0.162,81.257
47,You Never Give Me Your Money - Remastered 2009,The Beatles,Abbey Road (Remastered),242973,9,1969-09-26,59,0.335,0.416,0,1,0.0348,0.345,0.136,0.116,0.223,174.464
48,Sun King - Remastered 2009,The Beatles,Abbey Road (Remastered),146266,10,1969-09-26,57,0.483,0.177,2,1,0.0277,0.284,0.499,0.116,0.192,74.994
