,Song,Main composer,Singer
0,I Saw Her Standing There,McCartney,McCartney
1,Misery,Lennon/McCartney,Lennon/McCartney
2,Anna (Go to Him),Alexander,Lennon
3,Chains,Goffin/King,Harrison
4,Boys,Dixon/Farrell,Starr
5,Ask Me Why,Lennon,Lennon
6,Please Please Me,Lennon,Lennon/McCartney
7,Love Me Do,McCartney,Lennon/McCartney
8,P.S. I Love You,McCartney,McCartney
9,Baby It´s You,David/Williams/Bacharach,Lennon
10,Do You Want to Know a Secret,Lennon,Harrison
11,A Taste of Honey,Scott/Marlow,McCartney
12,There´s a Place,Lennon,Lennon
13,Twist and Shout,Medley/Russel,Lennon
0,It Won´t Be Long,Lennon,Lennon
1,All I´ve Got to Do,Lennon,Lennon
2,All My Loving,McCartney,McCartney
3,Don´t Bother Me,Harrison,Harrison
4,Little Child,Lennon/McCartney,Lennon/McCartney
5,Till There Was You,Wilson,McCartney
6,Please Mr Postman,Holland/Bateman/Garrett/Dobbins/Gorman,Lennon
7,Roll Over Beethoven,Berry,Harrison
8,Hold Me Tight,McCartney,McCartney
9,You Really Got a Hold on Me,Robinson,Lennon/Harrison
10,I Wanna Be Your Man,Lennon/McCartney,Starr
11,Devil in Her Heart,Drapkin,Harrison
12,Not a Second Time,Lennon,Lennon
13,Money (That´s What I Want),Bradford/Gordy,Lennon
0,A Hard Day´s Night,Lennon,Lennon/McCartney
1,I Should Have Known Better,Lennon,Lennon
2,If I Fell,Lennon,Lennon/McCartney
3,I´m Happy Just to Dance With You,Lennon,Harrison
4,And I Love Her,McCartney,McCartney
5,Tell Me Why,Lennon,Lennon
6,Can´t Buy Me Love,McCartney,McCartney
7,Any Time at All,Lennon,Lennon
8,I´ll Cry Instead,Lennon,Lennon
9,Things We Said Today,McCartney,McCartney
10,When I Get Home,Lennon,Lennon
11,You Can´t Do That,Lennon,Lennon
12,I´ll Be Back,Lennon,Lennon
0,No Reply,Lennon,Lennon
1,I´m a Loser,Lennon,Lennon
2,Baby´s in Black,Lennon/McCartney,Lennon/McCartney
3,Rock and Roll Music,Berry,Lennon
4,I´ll Follow the Sun,McCartney,McCartney
5,Mr Moonlight,Johnson,Lennon
6,"Kansas City/Hey, Hey, Hey, Hey",Leiber/Stoller/Penniman,McCartney
7,Eight Days a Week,McCartney,Lennon/McCartney
8,Words of Love,Holly,Lennon/McCartney
9,Honey Don´t,Perkins,Starr
10,Every Little Thing,McCartney,Lennon
11,I Don´t Want to Spoil the Party,Lennon,Lennon/Harrison
12,What You´re Doing,McCartney,McCartney
13,Everybody´s Trying to Be My Baby,Perkins,Harrison
0,Help!,Lennon,Lennon
1,The Night Before,McCartney,McCartney
2,You´ve Got to Hide Your Love Away,Lennon,Lennon
3,I Need You,Harrison,Harrison
4,Another Girl,McCartney,McCartney
5,You´re Going to Lose That Girl,Lennon,Lennon
6,Ticket to Ride,Lennon,Lennon
7,Act Naturally,Morrison/Russel,Starr
8,It´s Only Love,Lennon,Lennon
9,You Like Me Too Much,Harrison,Harrison
10,Tell Me What You See,McCartney,McCartney
11,I´ve Just Seen a Face,McCartney,McCartney
12,Yesterday,McCartney,McCartney
13,Dizzy Miss Lizzy,Williams,Lennon
0,Drive My Car,McCartney,Lennon/McCartney
1,Norwegian Wood (This Bird Has Flown),Lennon,Lennon
2,You Won´t See Me,McCartney,McCartney
3,Nowhere Man,Lennon,Lennon
4,Think for Yourself,Harrison,Harrison
5,The Word,Lennon/McCartney,Lennon/McCartney
6,Michelle,McCartney,McCartney
7,What Goes On,Lennon/McCartney,Starr
8,Girl,Lennon,Lennon
9,I´m Looking Through You,McCartney,McCartney
10,In My Life,Lennon/McCartney,Lennon
11,Wait,Lennon/McCartney,Lennon/McCartney
12,If I Need Someone,Harrison,Harrison
13,Run for Your Life,Lennon,Lennon
0,Taxman,Harrison,Harrison
1,Eleanor Rigby,McCartney,McCartney
2,I´m Only Sleeping,Lennon,Lennon
3,Love You To,Harrison,Harrison
4,"Here, There and Everywhere",McCartney,McCartney
5,Yellow Submarine,McCartney,Starr
6,She Said She Said,Lennon,Lennon
7,Good Day Sunshine,McCartney,McCartney
8,And Your Bird Can Sing,Lennon,Lennon
9,For No One,McCartney,McCartney
10,Doctor Robert,Lennon,Lennon
11,I Want to Tell You,Harrison,Harrison
12,Got to Get You Into My Life,McCartney,McCartney
13,Tomorrow Never Knows,Lennon,Lennon
0,She Loves You,Lennon/McCartney,Lennon/McCartney
1,From Me to You,Lennon/McCartney,Lennon/McCartney
2,We Can Work It Out,Lennon/McCartney,McCartney
6,I Feel Fine,Lennon,Lennon
9,Bad Boy,Williams,Lennon
10,Day Tripper,Lennon,Lennon/McCartney
13,Paperback Writer,McCartney,McCartney
15,I Want to Hold Your Hand,Lennon/McCartney,Lennon/McCartney
0,Sgt. Pepper´s Lonely Hearts Club Band,McCartney,McCartney
1,With a Little Help From My Friends,McCartney,Starr
2,Lucy in the Sky with Diamonds,Lennon,Lennon
3,Getting Better,McCartney,McCartney
4,Fixing a Hole,McCartney,McCartney
5,She´s Leaving Home,McCartney,McCartney
6,Being For the Benefit of Mr. Kite,Lennon,Lennon
7,Within You Without You,Harrison,Harrison
8,When I´m 64,McCartney,McCartney
9,Lovely Rita,McCartney,McCartney
10,Good Morning Good Morning,Lennon,Lennon
11,Sgt. Pepper´s Lonely Hearts Club Band (Reprise),McCartney,Lennon/McCartney/Harrison/Starr
12,A Day in the Life,Lennon/McCartney,Lennon/McCartney
0,Magical Mystery Tour,McCartney,McCartney
1,The Fool on the Hill,McCartney,McCartney
2,Flying,Lennon/McCartney/Harrison/Starr,
3,Blue Jay Way,Harrison,Harrison
4,Your Mother Should Know,McCartney,McCartney
5,I Am the Walrus,Lennon,Lennon
6,"Hello, Goodbye",McCartney,McCartney
7,Strawberry Fields Forever,Lennon,Lennon
8,Penny Lane,McCartney,McCartney
9,Baby You’re a Rich Man,Lennon/McCartney,Lennon/McCartney
10,All You Need Is Love,Lennon,Lennon
0,Back in the USSR,McCartney,McCartney
1,Dear Prudence,Lennon,Lennon
2,Glass Onion,Lennon,Lennon
3,"Ob-la-di, Ob-la-da",McCartney,McCartney
4,Wild Honey Pie,McCartney,McCartney
5,The Continuing Story of Bungalow Bill,Lennon,Lennon
6,While My Guitar Gently Weeps,Harrison,Harrison
7,Happiness is a Warm Gun,Lennon,Lennon
8,Martha My Dear,McCartney,McCartney
9,I´m So Tired,Lennon,Lennon
10,Blackbird,McCartney,McCartney
11,Piggies,Harrison,Harrison
12,Rocky Raccoon,McCartney,McCartney
13,Don´t Pass Me By,Starr,Starr
14,Why Don´t We Do It in the Road?,McCartney,McCartney
15,I Will,McCartney,McCartney
16,Julia,Lennon,Lennon
17,Birthday,McCartney,Lennon/McCartney
18,Yer Blues,Lennon,Lennon
19,Mother Nature´s Son,McCartney,McCartney
20,Everybody´s Got Something to Hide Except Me and My Monkey,Lennon,Lennon
21,Sexy Sadie,Lennon,Lennon
22,Helter Skelter,McCartney,McCartney
23,Long Long Long,Harrison,Harrison
24,Revolution 1,Lennon,Lennon
25,Honey Pie,McCartney,McCartney
26,Savoy Truffle,Harrison,Harrison
27,Cry Baby Cry,Lennon,Lennon
28,Revolution 9,Lennon,
29,Good Night,Lennon,Starr
1,Only a Nothern Song,Harrison,Harrison
2,All Together Now,McCartney,McCartney
3,Hey Bulldog,Lennon/McCartney,Lennon
4,It´s All Too Much,Harrison,Harrison
5,All You Need is Love,Lennon,Lennon
0,Come Together,Lennon,Lennon
1,Something,Harrison,Harrison
2,Maxwell´s Silver Hammer,McCartney,McCartney
3,Oh! Darling,McCartney,McCartney
4,Octopus´s Garden,Starr,Starr
5,I Want You (She´s So Heavy),Lennon,Lennon
6,Here Comes the Sun,Harrison,Harrison
7,Because,Lennon,Lennon/McCartney/Harrison
8,You Never Give Me Your Money,McCartney,McCartney
9,Sun King,Lennon,Lennon
10,Mean Mr Mustard,Lennon,Lennon
11,Polythene Pam,Lennon,Lennon
12,She Came in Through the Bathroom Window,McCartney,McCartney
13,Golden Slumbers,McCartney,McCartney
14,Carry That Weight,McCartney,McCartney
15,The End,McCartney,McCartney
16,Her Majesty,McCartney,McCartney
0,Two of Us,McCartney,Lennon/McCartney
1,Dig a Pony,Lennon,Lennon
2,Across the Universe,Lennon,Lennon
3,I Me Mine,Harrison,Harrison
4,Dig It,Lennon,Lennon
5,Let It Be,McCartney,McCartney
6,Maggie Mae,Trad.,Lennon/McCartney
7,I´ve Got a Feeling,Lennon/McCartney,Lennon/McCartney
8,One After 909,Lennon,Lennon/McCartney
9,The Long and Winding Road,McCartney,McCartney
10,For You Blue,Harrison,Harrison
11,Get Back,McCartney,McCartney
0,Thank You Girl,Lennon/McCartney,Lennon
1,I´ll Get You,Lennon/McCartney,Lennon/McCartney
2,This Boy,Lennon,Lennon/McCartney/Harrison
3,Long Tall Sally,Johnson/Penniman/Blackwell,McCartney
4,I Call Your Name,Lennon,Lennon
5,Matchbox,Perkins,Starr
6,Slow Down,Williams,Lennon
7,She´s a Woman,McCartney,McCartney
8,Yes it is,Lennon,Lennon
9,I´m Down,McCartney,McCartney
10,Rain,Lennon,Lennon
11,The Inner Light,Harrison,Harrison
12,Lady Madonna,McCartney,McCartney
13,Revolution,Lennon,Lennon
14,Hey Jude,McCartney,McCartney
15,Don´t Let Me Down,Lennon,Lennon
16,The Ballad of John and Yoko,Lennon,Lennon
17,Old Brown Shoe,Harrison,Harrison
18,You Know My Name (Look up the Number),Lennon,Lennon/McCartney/Starr
