,Unnamed: 0_x,song,artist,album,duration,track_num,release_date,popularity,danceability,energy,key,key_confidence,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,Unnamed: 0_y,Song,Main composer,Singer
0,1,FROM ME TO YOU,The Beatles,1,116160,2,2000,59,0.581,0.821,0,0.0,1,0.0318,0.507,0.0,0.10800000000000001,0.968,136.145,1.0,FROM ME TO YOU,Lennon/McCartney,Lennon/McCartney
1,2,SHE LOVES YOU,The Beatles,1,140920,3,2000,66,0.377,0.9159999999999999,4,0.0,0,0.0481,0.26,0.0,0.07400000000000001,0.912,75.533,0.0,SHE LOVES YOU,Lennon/McCartney,Lennon/McCartney
2,3,I WANT TO HOLD YOUR HAND,The Beatles,1,145746,4,2000,71,0.49,0.715,7,0.56,1,0.0476,0.386,0.0,0.311,0.866,130.726,15.0,I WANT TO HOLD YOUR HAND,Lennon/McCartney,Lennon/McCartney
3,6,I FEEL FINE,The Beatles,1,139346,7,2000,63,0.564,0.8270000000000001,7,1.0,1,0.0283,0.0904,3.73e-06,0.127,0.912,89.84700000000001,6.0,I FEEL FINE,Lennon,Lennon
4,11,DAY TRIPPER,The Beatles,1,169000,12,2000,64,0.665,0.782,6,0.521,0,0.0307,0.12,4.19e-06,0.125,0.731,137.453,10.0,DAY TRIPPER,Lennon,Lennon/McCartney
5,12,WE CAN WORK IT OUT,The Beatles,1,135693,13,2000,61,0.37799999999999995,0.677,2,0.593,1,0.0298,0.0635,0.0,0.183,0.648,106.071,2.0,WE CAN WORK IT OUT,Lennon/McCartney,McCartney
6,13,PAPERBACK WRITER,The Beatles,1,138200,14,2000,61,0.47200000000000003,0.856,7,1.0,1,0.0562,0.147,2.78e-06,0.595,0.841,78.696,13.0,PAPERBACK WRITER,McCartney,McCartney
7,19,LADY MADONNA,The Beatles,1,136826,20,2000,61,0.65,0.777,2,0.375,1,0.0294,0.141,0.34299999999999997,0.215,0.574,109.60799999999999,12.0,LADY MADONNA,McCartney,McCartney
8,20,HEY JUDE,The Beatles,1,425653,21,2000,74,0.386,0.607,10,0.14400000000000002,1,0.0261,0.0112,1.3800000000000002e-05,0.08800000000000001,0.532,147.207,14.0,HEY JUDE,McCartney,McCartney
9,22,THE BALLAD OF JOHN AND YOKO,The Beatles,1,179480,23,2000,57,0.6509999999999999,0.892,4,0.603,1,0.0313,0.00465,2.85e-06,0.127,0.9620000000000001,135.309,16.0,THE BALLAD OF JOHN AND YOKO,Lennon,Lennon
10,27,TWO OF US,The Beatles,Let It Be,216813,1,1970,59,0.726,0.7020000000000001,7,0.738,1,0.032,0.0974,3.46e-05,0.239,0.9309999999999999,109.11399999999999,0.0,TWO OF US,McCartney,Lennon/McCartney
11,28,DIG A PONY,The Beatles,Let It Be,235000,2,1970,55,0.5379999999999999,0.478,11,0.413,0,0.0388,0.47200000000000003,0.0,0.17,0.527,59.004,1.0,DIG A PONY,Lennon,Lennon
12,29,ACROSS THE UNIVERSE,The Beatles,Let It Be,228133,3,1970,66,0.257,0.41200000000000003,1,0.838,1,0.0287,0.361,8.68e-05,0.0702,0.858,152.126,2.0,ACROSS THE UNIVERSE,Lennon,Lennon
13,30,I ME MINE,The Beatles,Let It Be,145586,4,1970,56,0.29100000000000004,0.638,9,0.526,0,0.0554,0.179,0.0,0.10099999999999999,0.525,185.235,3.0,I ME MINE,Harrison,Harrison
14,31,DIG IT,The Beatles,Let It Be,50466,5,1970,49,0.54,0.489,5,0.667,1,0.11699999999999999,0.659,0.0019,0.457,0.67,157.03,4.0,DIG IT,Lennon,Lennon
15,32,LET IT BE,The Beatles,Let It Be,243026,6,1970,78,0.44299999999999995,0.40299999999999997,0,0.8420000000000001,1,0.0322,0.631,0.0,0.111,0.41,143.46200000000002,5.0,LET IT BE,McCartney,McCartney
16,33,MAGGIE MAE,The Beatles,Let It Be,40040,7,1970,51,0.516,0.515,2,1.454,0,0.215,0.379,0.0,0.10300000000000001,0.524,169.03900000000002,6.0,MAGGIE MAE,Trad.,Lennon/McCartney
17,34,I'VE GOT A FEELING,The Beatles,Let It Be,217560,8,1970,58,0.44,0.609,2,0.478,1,0.0358,0.0715,0.0,0.5820000000000001,0.364,165.15599999999998,,,,
