,song,artist,album,duration,track_num,release_date,popularity,danceability,energy,key,key_confidence,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,Rocks Off,The Rolling Stones,Exile On Main Street (2010 Re-Mastered),271933,1,1972-05-12,54,0.485,0.943,4,0.464,1,0.0416,0.0639,0.179,0.144,0.889,141.982
1,Rip This Joint,The Rolling Stones,Exile On Main Street (2010 Re-Mastered),143293,2,1972-05-12,46,0.548,0.952,2,0.809,1,0.0422,0.118,0.837,0.301,0.906,98.04
2,Shake Your Hips,The Rolling Stones,Exile On Main Street (2010 Re-Mastered),179000,3,1972-05-12,43,0.374,0.787,2,0.043,1,0.0617,0.69,0.831,0.203,0.763,180.496
3,Casino Boogie,The Rolling Stones,Exile On Main Street (2010 Re-Mastered),214466,4,1972-05-12,42,0.53,0.691,2,0.64,1,0.0307,0.374,0.111,0.29,0.581,117.046
4,Tumbling Dice,The Rolling Stones,Exile On Main Street (2010 Re-Mastered),226333,5,1972-05-12,61,0.615,0.91,11,0.714,1,0.0347,0.5,0.511,0.281,0.77,111.013
5,Sweet Virginia,The Rolling Stones,Exile On Main Street (2010 Re-Mastered),266560,6,1972-05-12,57,0.477,0.74,9,0.453,1,0.0446,0.502,1.31e-06,0.263,0.56,107.384
6,Torn And Frayed,The Rolling Stones,Exile On Main Street (2010 Re-Mastered),257240,7,1972-05-12,43,0.454,0.766,2,0.962,1,0.0272,0.664,0.904,0.594,0.776,90.677
7,Sweet Black Angel,The Rolling Stones,Exile On Main Street (2010 Re-Mastered),177666,8,1972-05-12,41,0.498,0.728,7,0.795,1,0.0373,0.65,0.000172,0.114,0.609,174.33
8,Loving Cup,The Rolling Stones,Exile On Main Street (2010 Re-Mastered),264266,9,1972-05-12,43,0.471,0.843,7,0.587,1,0.041,0.636,0.0402,0.773,0.632,156.695
9,Happy,The Rolling Stones,Exile On Main Street (2010 Re-Mastered),184626,10,1972-05-12,43,0.555,0.897,4,0.63,1,0.0293,0.361,0.94,0.536,0.965,131.712
10,Turd On The Run,The Rolling Stones,Exile On Main Street (2010 Re-Mastered),157173,11,1972-05-12,39,0.517,0.781,2,0.046,1,0.0405,0.65,0.977,0.341,0.742,119.364
