,song,artist,album,duration,track_num,release_date,popularity,danceability,energy,key,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,Dance Tonight,Paul McCartney,Memory Almost Full,174933,1,2007-06-04,38,0.531,0.891,5,1,0.0431,0.0823,0.00551,0.161,0.926,170.973
1,Ever Present Past,Paul McCartney,Memory Almost Full,176293,2,2007-06-04,23,0.691,0.755,0,1,0.0354,0.0293,0.0,0.251,0.904,127.961
2,See Your Sunshine,Paul McCartney,Memory Almost Full,199053,3,2007-06-04,7,0.701,0.704,0,1,0.025,0.0499,0.000347,0.232,0.757,103.941
3,Only Mama Knows,Paul McCartney,Memory Almost Full,257813,4,2007-06-04,9,0.266,0.863,4,0,0.0406,0.0542,8.6e-06,0.608,0.297,131.201
4,You Tell Me,Paul McCartney,Memory Almost Full,195626,5,2007-06-04,17,0.423,0.482,11,0,0.03,0.29,0.00812,0.0804,0.241,78.092
5,Mr. Bellamy,Paul McCartney,Memory Almost Full,219453,6,2007-06-04,9,0.393,0.581,5,1,0.0381,0.469,0.000431,0.119,0.407,80.384
6,Gratitude,Paul McCartney,Memory Almost Full,198533,7,2007-06-04,6,0.586,0.607,2,1,0.0269,0.164,1.44e-05,0.119,0.26,79.917
7,Vintage Clothes,Paul McCartney,Memory Almost Full,142360,8,2007-06-04,7,0.563,0.807,9,1,0.0276,0.00587,2.05e-05,0.414,0.424,123.935
8,That Was Me,Paul McCartney,Memory Almost Full,158520,9,2007-06-04,7,0.571,0.834,4,0,0.027,0.00115,0.00228,0.165,0.504,90.017
9,Feet In The Clouds,Paul McCartney,Memory Almost Full,204146,10,2007-06-04,6,0.708,0.438,6,0,0.0279,0.537,0.0,0.288,0.788,94.967
10,House Of Wax,Paul McCartney,Memory Almost Full,299360,11,2007-06-04,10,0.294,0.704,1,0,0.0332,0.0287,0.00172,0.11,0.1,167.659
11,The End Of The End,Paul McCartney,Memory Almost Full,173413,12,2007-06-04,20,0.577,0.425,9,0,0.0276,0.763,1.5e-05,0.145,0.099,81.561
12,Nod Your Head,Paul McCartney,Memory Almost Full,118866,13,2007-06-04,4,0.404,0.878,9,0,0.0415,0.00196,3.76e-05,0.0919,0.441,89.544
13,Fine Line,Paul McCartney,Chaos And Creation In The Backyard,185360,1,2005-09-12,36,0.746,0.779,2,1,0.0329,0.226,0.00026,0.0953,0.51,115.382
